repDate,Inflow  m³/sek,Production (GWh),Rainfall (mm),Temperature  (Celsius),Month
1/1/1991,121,311.528,37.4934,1.53289,Jan
1/2/1991,187,232.561,120.416,1.91301,Feb
1/3/1991,194,233.129,63.3037,8.11037,Mar
1/4/1991,261,188.466,126.084,8.98203,Apr
1/5/1991,325,195.781,85.4947,11.7909,May
1/6/1991,234,273.575,32.1569,18.8251,Jun
1/7/1991,102,304.554,76.3838,20.6643,Jul
1/8/1991,76,253.743,42.7505,20.7155,Aug
1/9/1991,61,193.606,55.2794,18.0427,Sep
1/10/1991,73,241.706,89.9531,12.5302,Oct
1/11/1991,183,308.406,145.106,8.2246,Nov
1/12/1991,83,372.796,43.4473,1.12019,Dec
1/1/1992,69,381.121,26.7264,1.48451,Jan
1/2/1992,67,237.382,22.3447,2.23911,Feb
1/3/1992,60,277.522,40.1933,5.87694,Mar
1/4/1992,213,187.498,147.636,9.67909,Apr
1/5/1992,104,177.924,65.1148,14.8555,May
1/6/1992,65,206.171,95.4325,17.8003,Jun
1/7/1992,53,217.117,53.3617,20.4693,Jul
1/8/1992,37,223.612,12.8098,23.0258,Aug
1/9/1992,47,192.829,36.1054,17.6624,Sep
1/10/1992,127,222.9,97.6529,14.1531,Oct
1/11/1992,232,258.883,80.1566,8.54418,Nov
1/12/1992,132,327.457,120.162,2.97618,Dec
1/1/1993,64,310.716,32.6432,1.5604,Jan
1/2/1993,41,329.606,45.0802,1.12405,Feb
1/3/1993,138,285.573,95.5706,5.01183,Mar
1/4/1993,281,212.563,61.0221,10.29,Apr
1/5/1993,144,195.946,106.746,15.9145,May
1/6/1993,50,187.844,36.7896,19.4725,Jun
1/7/1993,37,219.822,8.53627,20.6944,Jul
1/8/1993,26,233.721,12.3059,22.1643,Aug
1/9/1993,34,202.79,70.8277,17.158,Sep
1/10/1993,60,195.328,70.0062,13.9114,Oct
1/11/1993,135,286.841,219.471,6.93816,Nov
1/12/1993,249,319.11,102.276,4.90854,Dec
1/1/1994,205,300.852,142,3.75962,Jan
1/2/1994,181,288.276,107.67,3.52546,Feb
1/3/1994,132,291.912,22.6095,7.83775,Mar
1/4/1994,266,271.701,126.862,10.6027,Apr
1/5/1994,182,256.512,81.3266,15.711,May
1/6/1994,82,259.954,59.7012,18.9145,Jun
1/7/1994,56,255.945,36.8604,22.8277,Jul
1/8/1994,47,294.615,49.5882,23.3111,Aug
1/9/1994,63,294.33,60.2347,19.9504,Sep
1/10/1994,59,317.634,106.07,13.266,Oct
1/11/1994,48,361.323,95.1727,7.14062,Nov
1/12/1994,43,249.473,118.117,3.47463,Dec
1/1/1995,214,318.261,121.497,2.04014,Jan
1/2/1995,197,286.568,56.5508,5.56375,Feb
1/3/1995,154,328.384,108.231,5.55997,Mar
1/4/1995,296,288.072,79.1179,9.23031,Apr
1/5/1995,330,276.699,74.7577,14.2585,May
1/6/1995,125,302.062,26.1716,18.2155,Jun
1/7/1995,51,257.404,70.9005,22.375,Jul
1/8/1995,85,286.421,125.52,20.1668,Aug
1/9/1995,221,309.808,97.0654,16.0541,Sep
1/10/1995,88,353.292,8.45294,12.0695,Oct
1/11/1995,126,420.434,101.446,5.43238,Nov
1/12/1995,328,407.999,207.101,5.17777,Dec
1/1/1996,257,540.9,104.838,2.74004,Jan
1/2/1996,280,479.631,141.599,2.06475,Feb
1/3/1996,265,573.097,110.794,3.7962,Mar
1/4/1996,413,469.694,83.6534,9.6424,Apr
1/5/1996,334,454.739,69.9186,15.6802,May
1/6/1996,120,394.976,26.2534,19.6962,Jun
1/7/1996,57,338.556,15.4274,20.7943,Jul
1/8/1996,42,277.233,56.1261,21.1839,Aug
1/9/1996,169,323.07,154.187,14.6405,Sep
1/10/1996,131,369.993,113.208,11.3562,Oct
1/11/1996,289,403.088,120.708,8.51967,Nov
1/12/1996,379,444.531,152.666,3.81211,Dec
1/1/1997,334,504.414,77.4945,3.28325,Jan
1/2/1997,150,459.63,40.241,3.6685,Feb
1/3/1997,147,406.509,31.2609,6.28489,Mar
1/4/1997,274,401.044,97.4429,6.77591,Apr
1/5/1997,337,365.011,34.3158,15.6763,May
1/6/1997,109,348.212,32.1301,19.5669,Jun
1/7/1997,43,304.695,25.9727,20.9515,Jul
1/8/1997,40,332.301,58.2482,19.9366,Aug
1/9/1997,51,302.289,18.5151,17.4531,Sep
1/10/1997,133,314.754,165.422,11.055,Oct
1/11/1997,169,415.213,126.717,8.2272,Nov
1/12/1997,311,487.842,138.908,4.05454,Dec
1/1/1998,170,482.291,77.628,3.35315,Jan
1/2/1998,175,401.247,67.3887,5.2894,Feb
1/3/1998,165,424.55,30.3207,4.6071,Mar
1/4/1998,341,303.376,51.2141,11.0717,Apr
1/5/1998,308,336.358,109.99,14.7972,May
1/6/1998,132,302.409,28.0436,20.1738,Jun
1/7/1998,65,326.604,29.8787,22.5688,Jul
1/8/1998,47,218.968,28.4363,22.7593,Aug
1/9/1998,121,309.572,131.267,17.1139,Sep
1/10/1998,182,359.192,92.8693,13.176,Oct
1/11/1998,254,479.241,201.082,6.80689,Nov
1/12/1998,265,596.338,114.234,1.90665,Dec
1/1/1999,213,502.415,107.851,2.56853,Jan
1/2/1999,306,378.755,101.015,2.0871,Feb
1/3/1999,309,424.416,106.383,6.71538,Mar
1/4/1999,394,430.052,70.3827,10.8004,Apr
1/5/1999,363,419.302,44.9119,16.1647,May
1/6/1999,151,379.948,61.0875,19.8776,Jun
1/7/1999,87,389.992,51.0273,21.737,Jul
1/8/1999,53,393.941,52.3732,22.4286,Aug
1/9/1999,88,388.341,69.4496,18.5438,Sep
1/10/1999,50,363.734,83.2043,13.561,Oct
1/11/1999,196,291,128.918,7.79985,Nov
1/12/1999,361,482.852,187.86,4.74799,Dec
1/1/2000,213,460.56,32.0948,0.11537,Jan
1/2/2000,266,458.753,81.4036,3.37857,Feb
1/3/2000,278,538.988,39.5778,5.92704,Mar
1/4/2000,383,446.273,54.9751,12.2484,Apr
1/5/2000,181,400.222,28.6229,17.1948,May
1/6/2000,74,359.794,35.7538,20.5786,Jun
1/7/2000,66,333.191,34.9278,21.7982,Jul
1/8/2000,40,217.172,7.53663,22.8827,Aug
1/9/2000,53,227.407,65.2829,17.5322,Sep
1/10/2000,44,304.908,111.189,13.1644,Oct
1/11/2000,89,211.506,164.428,10.2876,Nov
1/12/2000,138,260.928,98.9828,5.12822,Dec
1/1/2001,132,309.065,126.632,4.35344,Jan
1/2/2001,152,238.931,62.9108,4.33498,Feb
1/3/2001,308,296.832,60.4456,9.87519,Mar
1/4/2001,271,292.261,123.014,9.97689,Apr
1/5/2001,190,258.246,65.0348,16.1743,May
1/6/2001,79,327.53,26.9683,18.3694,Jun
1/7/2001,40,305.776,22.8882,22.1963,Jul
1/8/2001,17,178.092,23.098,22.9692,Aug
